timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn,scenario
2026-01-01T00:17:00Z,198.51.100.2,198.51.100.9,23128,18333,20c45cbef029ea3f53da5c41a67828909b5ce89123ae95cf51a71b321f475707,"[""SYNW_88b25ebd15621261264ec8685ff73a34""]","[""SYNW_3d2b0d52d9583ab02283dfdbc99e3da4""]",[3.17790883],[3.17155301],US,AS-SYN-US,normal_baseline
2026-01-01T00:34:00Z,198.51.100.3,198.51.100.10,43972,18333,2936e50c1852dd2d27c212dfccd9164ea028a8b6cfebffd05f5527b6aee70220,"[""SYNW_3d2b0d52d9583ab02283dfdbc99e3da4""]","[""SYNW_fbbb82e9906a723248f348903e607e6f""]",[0.37996613],[0.3792062],DE,AS-SYN-DE,normal_baseline
2026-01-01T00:51:00Z,198.51.100.4,198.51.100.11,26891,8333,d1d7212625216616efaeaba28dbb367e0bd78fa937b6a3a0585078a7a5bf3d9c,"[""SYNW_fbbb82e9906a723248f348903e607e6f""]","[""SYNW_b5df4d74066f071593344bbbf14b0c82""]",[0.66258975],[0.66126457],SG,AS-SYN-SG,normal_baseline
2026-01-01T01:08:00Z,198.51.100.5,198.51.100.12,21271,18333,35085f87ce6c601f70d9682ee95adcad97eaa346950acdafe4800b8ba898615d,"[""SYNW_b5df4d74066f071593344bbbf14b0c82""]","[""SYNW_8df464d057d4b01d9074eae9dd9dc635""]",[2.46160789],[2.45668467],GB,AS-SYN-GB,normal_baseline
2026-01-01T01:25:00Z,198.51.100.6,198.51.100.13,22553,8333,81d356202be14522f77a156be3fe6eeaeb9c1e2376ae79149a0b94d2ec28c377,"[""SYNW_8df464d057d4b01d9074eae9dd9dc635""]","[""SYNW_b9031d34a320ed16ddf5fd9a9bfbc6f2""]",[0.51730444],[0.51626983],CA,AS-SYN-IN,normal_baseline
2026-01-01T01:42:00Z,198.51.100.7,198.51.100.14,57978,18333,3b91c7fe8b0cd5827618f2085e8edb873749bf545defc6b4fb84082f2a558cc1,"[""SYNW_b9031d34a320ed16ddf5fd9a9bfbc6f2""]","[""SYNW_f9b0f4f330b8eb366d6e692a95609e23""]",[1.75386344],[1.75035571],JP,AS-SYN-US,normal_baseline
2026-01-01T01:59:00Z,198.51.100.8,198.51.100.15,33628,18333,0341b657028f0362c689d4ce678bf374a6616b4cbed3bd48b61d4558c0e28469,"[""SYNW_f9b0f4f330b8eb366d6e692a95609e23""]","[""SYNW_b9db2d577a50b80cc6d24222c42bb50b""]",[3.82525615],[3.81760564],IN,AS-SYN-DE,normal_baseline
2026-01-01T02:16:00Z,198.51.100.9,198.51.100.16,24186,18333,aaa9716251b5addb6f8a5d6a161d65233d84cdc91129911ca46f08675a9e1187,"[""SYNW_b9db2d577a50b80cc6d24222c42bb50b""]","[""SYNW_46f48d6b1274dbfbed8f5d17760e77ef""]",[2.97405237],[2.96810427],US,AS-SYN-SG,normal_baseline
2026-01-01T02:33:00Z,198.51.100.10,198.51.100.17,61322,18333,5b551c428aeaf1bf8c9812371088c0e07e4a3e815e315bd25485e65034bcf80a,"[""SYNW_46f48d6b1274dbfbed8f5d17760e77ef""]","[""SYNW_a9c92fdebd564cdf3d00285a1a69dcb4""]",[2.85134333],[2.84564064],DE,AS-SYN-GB,normal_baseline
2026-01-01T02:50:00Z,198.51.100.11,198.51.100.18,45092,18333,a0ade4f2108467596ad078150712a5b7fd41865e3ba5e1e257e9a8ec77802e7b,"[""SYNW_a9c92fdebd564cdf3d00285a1a69dcb4""]","[""SYNW_7105858eecd4f46f984a17bb301f863f""]",[0.98619129],[0.98421891],SG,AS-SYN-IN,normal_baseline
